iter	Passed	Remaining
855	1336	224
856	1337	223
857	1339	221
858	1340	220
859	1341	218
860	1343	216
861	1344	215
862	1345	213
863	1347	212
864	1348	210
865	1350	208
866	1351	207
867	1352	205
868	1353	204
869	1355	202
870	1356	200
871	1357	199
872	1359	197
873	1360	196
874	1361	194
875	1363	192
876	1364	191
877	1366	189
878	1367	188
879	1368	186
880	1369	185
881	1371	183
882	1372	181
883	1373	180
884	1375	178
885	1376	177
886	1377	175
887	1379	173
888	1380	172
889	1381	170
890	1383	169
891	1384	167
892	1385	166
893	1387	164
894	1388	162
895	1389	161
896	1391	159
897	1392	158
898	1393	156
899	1394	154
900	1396	153
901	1397	151
902	1398	150
903	1400	148
904	1401	147
905	1402	145
906	1403	143
907	1405	142
908	1406	140
909	1407	139
910	1409	137
911	1410	136
912	1411	134
913	1413	132
914	1414	131
915	1415	129
916	1417	128
917	1418	126
918	1419	125
919	1420	123
920	1422	121
921	1423	120
922	1424	118
923	1426	117
924	1427	115
925	1428	114
926	1430	112
927	1431	111
928	1432	109
929	1433	107
930	1435	106
931	1436	104
932	1437	103
933	1439	101
934	1440	100
935	1441	98
936	1443	97
937	1444	95
938	1446	93
939	1447	92
940	1448	90
941	1449	89
942	1451	87
943	1452	86
944	1453	84
945	1455	83
946	1456	81
947	1457	79
948	1458	78
949	1460	76
950	1461	75
951	1462	73
952	1464	72
953	1465	70
954	1466	69
955	1468	67
956	1469	66
957	1470	64
958	1471	62
959	1473	61
960	1474	59
961	1475	58
962	1477	56
963	1478	55
964	1479	53
965	1480	52
966	1482	50
967	1483	49
968	1484	47
969	1486	45
970	1487	44
971	1488	42
972	1489	41
973	1491	39
974	1492	38
975	1493	36
976	1495	35
977	1496	33
978	1497	32
979	1499	30
980	1500	29
981	1501	27
982	1503	25
983	1504	24
984	1505	22
985	1507	21
986	1508	19
987	1509	18
988	1511	16
989	1512	15
990	1513	13
991	1514	12
992	1516	10
993	1517	9
994	1518	7
995	1520	6
996	1521	4
997	1522	3
998	1524	1
999	1525	0
